country,NY.GDP.PCAP.CD,SE.PRM.ENRR,SH.XPD.CHEX.GD.ZS,SI.POV.DDAY,SP.POP.TOTL
#country+name,,,,,
LVA,26311.9730706362,97.5693511962891,7.27783823,0.4,1847785.0
MAC,75901.7461294198,89.8103044496487,,,685900.0
MAF,21668.3776525323,,,,24941.0
MAR,4672.46826171875,116.588650279809,6.06396198,3.7,38430770.0
MCO,288001.574856495,120.58309173584,3.11959291,,38341.0
MDA,8621.71721623786,107.605837807201,6.7359705,0.1,2360527.0
MDG,599.265294255357,132.73958355273,3.42822957,69.2,32740678.0
MDV,14614.7208116541,99.7145381635289,9.24973583,0.0,529676.0
MEA,6202.19002141299,94.6325531005859,5.34256816818965,14.4,828025185.0
MEX,13889.2339628708,102.280960083008,5.50398684,1.6,131946900.0
MHL,8489.05793506422,101.801289343951,13.40528965,2.1,36282.0
MIC,6778.79773310904,103.311218261719,5.62456274387014,,6024194822.0
MKD,10489.9255355525,96.3131713867188,7.42730284,3.9,1820909.0
MLI,1193.27601004701,72.7972336510107,3.81316996,36.1,25198821.0
MLT,47906.9000057635,97.7078399658203,8.84301376,0.4,579704.0
MMR,1488.87527836542,120.214569091797,4.45748425,10.3,54850648.0
MNA,2829.12883889291,,5.20467148839159,,753903407.0
MNE,14816.8380299947,106.109619140625,9.6549921,2.5,623129.0
MNG,7108.22743246244,92.3400789423552,6.07207489,0.4,3568978.0
MNP,23785.754590043,,,,43541.0
MOZ,626.914419215727,119.162225223393,8.50126553,81.4,35631653.0
MRT,2197.51046251309,105.434763333022,4.34333467,10.2,5315065.0
MUS,12991.2935987166,107.347861424363,5.56544495,0.5,1243741.0
MWI,671.506847203876,139.016258677384,6.53459597,75.4,22216120.0
MYS,13124.5554178269,90.3595586965317,3.95760036,0.0,35977838.0
NAC,86308.0717272746,96.7801818847656,16.2910204736392,0.9,383501065.0
NAM,4875.92558158247,120.719328687086,9.48251629,22.9,3092816.0
NCL,29213.1923192946,116.012268066406,,,295333.0
NER,775.353622143879,64.6534815281519,4.04895782,60.5,27917831.0
NGA,1224.25410237743,89.5871124267578,4.19086456,41.8,237527782.0
NIC,3173.33724815085,109.536392211914,8.29879284,6.6,7007502.0
NLD,73683.917132794,104.15657043457,10.00551128,0.1,18087633.0
NOR,94594.1929573987,98.5439224243164,9.42925453,0.2,5610870.0
NPL,1535.87781246307,128.558746514108,6.15843678,2.4,29618118.0
NRU,14639.5046929186,94.4013308884636,18.21076012,9.7,12025.0
NZL,49591.0405731713,96.6948623657227,10.06186676,,5324700.0
OED,51733.7140199057,100.67236328125,12.7481642567741,,1402243571.0
OMN,19947.3966227092,94.7204132080078,3.49047446,,5494691.0
OSS,17540.3099815121,102.251792907715,7.34753280434449,,13034928.0
PAK,1595.90912252837,83.726068200404,2.51988316,23.0,255219554.0
PAN,19789.7308555826,96.9385299682617,8.33022976,3.1,4571189.0
PER,9684.41170314988,112.787780761719,5.63786411,5.1,34576665.0
PHL,4170.72347271451,94.0330906383194,5.10122538,5.3,116786962.0
PLW,19532.3557719527,106.937269372694,10.85468197,,17663.0
PNG,3019.5309140573,121.090488343548,2.87081432,52.2,10762817.0
