country,NY.GDP.PCAP.CD,SE.PRM.ENRR,SH.XPD.CHEX.GD.ZS,SI.POV.DDAY,SP.POP.TOTL
NGA,1084.16041805436,89.5871124267578,4.19086456,41.8,232679478.0
NIC,2847.53966339498,109.536392211914,8.29879284,6.6,6916140.0
NLD,67520.4218956281,104.15657043457,10.00551128,0.1,17993485.0
NOR,86785.4334489176,98.6104431152344,9.42925453,0.2,5572279.0
NPL,1447.31004458428,128.558746514108,6.15843678,2.4,29651054.0
NRU,13609.158837552,94.4013308884636,18.21076012,9.7,11947.0
NZL,49205.1792146792,96.8670501708984,10.06186676,,5287500.0
OED,48322.164420487,100.67236328125,12.7237948307767,,1396877448.0
OMN,20285.2272897377,89.2455714414171,3.49047446,,5281538.0
OSS,16094.1266173126,102.251792907715,7.34759766636095,,12931878.0
PAK,1478.77277977996,83.726068200404,2.51988316,16.5,251269164.0
PAN,19161.2188501596,95.2033935877376,8.33022976,3.1,4515577.0
PER,8452.37167056621,113.900588989258,5.63786411,5.1,34217848.0
PHL,3984.8315387656,94.0330906383194,5.10122538,5.3,115843670.0
PLW,15610.8231931032,100.718907260963,10.85468197,,17695.0
PNG,3006.70564478923,121.090488343548,2.87081432,52.2,10576502.0
POL,25103.565661423,105.397079467773,8.06380177,0.2,36559233.0
PRE,1366.06577255622,98.3118515014648,4.47078652284659,,1105951788.0
PRI,39343.7154660139,87.9278775085621,,,3203295.0
PRK,,92.0648422241211,,,26498823.0
PRT,29292.242104753,110.98851776123,10.24061108,0.4,10694681.0
PRY,6416.09708970845,89.4386417386793,8.35731316,2.1,6929153.0
PSE,2592.30591217647,91.4422361153306,10.73343945,2.1,5289152.0
PSS,4453.58561280276,97.7588119506836,5.68145773238409,,2722467.0
PST,55644.314789934,99.3445510864258,13.2616907140419,,1128377826.0
PYF,22439.8838746025,108.143379211426,,,281807.0
QAT,76688.6941743178,94.1971279001544,2.52358818,0.0,2857822.0
ROU,20080.2096215595,84.946662902832,5.70901489,0.7,19051804.0
RUS,14889.0185546875,97.7462041476013,7.04438496,0.1,143533851.0
RWA,999.65456165547,149.572183149389,5.12708998,38.6,14256567.0
SAS,2690.07883749003,119.026802062988,3.26234217340341,3.8,1677384532.0
SAU,35121.6628687742,103.984471859469,5.68722248,,35300280.0
SDN,984.607666015625,72.3981094360352,2.85165739,10.1,50448963.0
SEN,1773.21829923448,85.3279669566335,4.32314825,17.9,18501984.0
SGP,90674.066632628,100.245139192048,4.49163246,,6036860.0
SLB,1933.55538435227,81.8445759596103,5.36366177,40.3,819198.0
SLE,806.654650417726,162.123997594776,4.71883011,41.5,8642022.0
SLV,5579.65969165029,89.8804082588561,9.28738594,4.6,6338193.0
SMR,59879.7173015651,93.5309973045822,6.60829115,,33977.0
SOM,629.538899449007,20.9155502319336,3.74413586,,19009151.0
SRB,13679.2065983557,96.6279678344727,8.03133774,2.0,6586476.0
SSA,1576.69166875191,97.1018218994141,5.06491625592637,,1158863843.0
SSD,1080.14718624765,98.4412384033203,11.61002254,76.5,11943408.0
SSF,1532.92763550207,97.1016311645508,4.91844873230529,46.0,1291044964.0
SST,15383.3425638674,100.858131408691,6.76810941964699,,20193405.0
STP,3490.56883486557,110.377998352051,5.77292156,13.0,235536.0
SUR,6961.78955961526,64.1794204711914,5.40666008,2.2,634431.0
SVK,25992.6748502048,103.090553283691,7.35262203,0.5,5422069.0
SVN,34301.0318686594,100.884101867676,9.87630939,0.0,2127400.0
SWE,57117.4877440616,115.019523620605,11.21510124,0.8,10569709.0
SWZ,3909.55892378182,116.527002594136,7.49763966,44.5,1242822.0
SXM,41472.5874498583,135.070755004883,,,43350.0
SYC,17858.8226383978,93.3800582885742,4.48238087,0.7,121354.0
